Entity,Code,Year,Gas Production - TWh
Africa,,1970,30.1721625
Africa,,1971,37.02290194444444
Africa,,1972,65.1348461111111
Africa,,1973,98.3221525
Africa,,1974,102.60499666666666
Africa,,1975,115.33114861111112
Africa,,1976,137.28213416666668
Africa,,1977,139.97684944444444
Africa,,1978,186.69027666666668
Africa,,1979,283.32994499999995
Africa,,1980,248.3033888888889
Africa,,1981,264.74803944444443
Africa,,1982,325.11289277777774
Africa,,1983,436.9568288888889
Africa,,1984,458.6506938888889
Africa,,1985,505.6782097222222
Africa,,1986,530.1431319444445
Africa,,1987,578.9781925
Africa,,1988,617.5322794444444
Africa,,1989,677.4079680555556
Africa,,1990,721.5905930555555
Africa,,1991,773.45173
Africa,,1992,808.2827991666667
Africa,,1993,833.4067216666666
Africa,,1994,789.6462175
Africa,,1995,872.7052224999999
Africa,,1996,933.325003611111
Africa,,1997,1041.611023888889
Africa,,1998,1109.316353888889
Africa,,1999,1216.7257452777776
Africa,,2000,1351.0124297222224
Africa,,2001,1388.4131452777776
Africa,,2002,1449.4239955555556
Africa,,2003,1556.2820244444445
Africa,,2004,1636.2527052777775
Africa,,2005,1701.064934722222
Africa,,2006,1842.0569013888887
Africa,,2007,1957.3491005555557
Africa,,2008,2029.1281625
Africa,,2009,1913.575300833333
Africa,,2010,2015.298361388889
Africa,,2011,2006.1346691666663
Africa,,2012,2067.2793791666663
Africa,,2013,1991.0166705555555
Africa,,2014,2035.0489741666663
Africa,,2015,2079.924261388889
Africa,,2016,2118.779268888889
Africa,,2017,2294.929831111111
Africa,,2018,2414.378688333333
Africa,,2019,2437.7666994444444
Africa,,2020,2312.992040277777
Algeria,DZA,1970,24.380125
Algeria,DZA,1971,25.69875
Algeria,DZA,1972,32.561375
Algeria,DZA,1973,43.21625
Algeria,DZA,1974,49.963375
Algeria,DZA,1975,61.523
Algeria,DZA,1976,77.490875
Algeria,DZA,1977,74.1654375
Algeria,DZA,1978,115.01875
Algeria,DZA,1979,188.5345
Algeria,DZA,1980,154.0975
Algeria,DZA,1981,178.64843
Algeria,DZA,1982,233.10009
Algeria,DZA,1983,333.79263
Algeria,DZA,1984,339.75882
Algeria,DZA,1985,373.38115
Algeria,DZA,1986,381.89431
Algeria,DZA,1987,431.0078
Algeria,DZA,1988,450.58109
Algeria,DZA,1989,485.83162
Algeria,DZA,1990,516.56971
Algeria,DZA,1991,557.0304799999999
Algeria,DZA,1992,580.01136
Algeria,DZA,1993,587.46619
Algeria,DZA,1994,540.10883
Algeria,DZA,1995,614.91299
Algeria,DZA,1996,652.51278
Algeria,DZA,1997,748.58821
Algeria,DZA,1998,801.62101
Algeria,DZA,1999,901.06914
Algeria,DZA,2000,918.8863
Algeria,DZA,2001,864.72539
Algeria,DZA,2002,889.4158799999999
Algeria,DZA,2003,938.57589
Algeria,DZA,2004,920.54939
Algeria,DZA,2005,849.1175
Algeria,DZA,2006,812.994875
Algeria,DZA,2007,816.459875
Algeria,DZA,2008,826.0078749999999
Algeria,DZA,2009,765.6687499999999
Algeria,DZA,2010,773.9654999999999
Algeria,DZA,2011,795.9875
Algeria,DZA,2012,784.4375
Algeria,DZA,2013,793.38875
Algeria,DZA,2014,801.7239999999999
Algeria,DZA,2015,814.111375
Algeria,DZA,2016,913.922625
Algeria,DZA,2017,929.765375
Algeria,DZA,2018,938.4375
Algeria,DZA,2019,869.5225
Algeria,DZA,2020,814.56375
Argentina,ARG,1970,58.5445
Argentina,ARG,1971,63.2659875
Argentina,ARG,1972,60.1394
Argentina,ARG,1973,65.48815
Argentina,ARG,1974,70.4868
Argentina,ARG,1975,74.8047
Argentina,ARG,1976,71.32315
Argentina,ARG,1977,73.61824999999999
Argentina,ARG,1978,75.95225
Argentina,ARG,1979,70.31175
Argentina,ARG,1980,81.6462375
Argentina,ARG,1981,84.9527375
Argentina,ARG,1982,95.20775
Argentina,ARG,1983,127.7865
Argentina,ARG,1984,131.093
Argentina,ARG,1985,135.08025
Argentina,ARG,1986,150.83475
Argentina,ARG,1987,147.33374999999998
Argentina,ARG,1988,174.661
Argentina,ARG,1989,184.67775
Argentina,ARG,1990,173.494
Argentina,ARG,1991,193.81925
Argentina,ARG,1992,195.37525
Argentina,ARG,1993,209.282
Argentina,ARG,1994,216.57575
Argentina,ARG,1995,243.22225
Argentina,ARG,1996,281.34425
Argentina,ARG,1997,266.2705
Argentina,ARG,1998,287.76275
Argentina,ARG,1999,336.19325000000003
Argentina,ARG,2000,363.81225
Argentina,ARG,2001,361.1865
Argentina,ARG,2002,351.16975
Argentina,ARG,2003,399.114
Argentina,ARG,2004,436.458
Argentina,ARG,2005,443.75175
Argentina,ARG,2006,448.3225
Argentina,ARG,2007,435.97175
Argentina,ARG,2008,428.4835
Argentina,ARG,2009,403.0119119444444
Argentina,ARG,2010,389.9699575
Argentina,ARG,2011,377.1784511111111
Argentina,ARG,2012,366.9120330555555
Argentina,ARG,2013,345.5585355555555
Argentina,ARG,2014,344.8587955555556
Argentina,ARG,2015,354.9114425
Argentina,ARG,2016,372.8235641666667
Argentina,ARG,2017,371.49888277777774
Argentina,ARG,2018,394.2538986111111
Argentina,ARG,2019,416.1581658333333
Argentina,ARG,2020,382.9157147222222
Asia Pacific,,1970,151.01651694444442
Asia Pacific,,1971,178.60784333333334
Asia Pacific,,1972,207.66739027777777
Asia Pacific,,1973,257.71795055555555
Asia Pacific,,1974,313.50861999999995
Asia Pacific,,1975,355.13748333333336
Asia Pacific,,1976,409.6299247222223
Asia Pacific,,1977,498.73898305555554
Asia Pacific,,1978,593.4844672222222
Asia Pacific,,1979,674.993125
Asia Pacific,,1980,719.0155641666668
Asia Pacific,,1981,722.3736102777777
Asia Pacific,,1982,750.6736008333332
Asia Pacific,,1983,847.5098044444444
Asia Pacific,,1984,986.2842441666666
Asia Pacific,,1985,1069.3480813888889
Asia Pacific,,1986,1179.9270386111111
Asia Pacific,,1987,1255.2443780555554
Asia Pacific,,1988,1340.994751111111
Asia Pacific,,1989,1383.829013888889
Asia Pacific,,1990,1492.5189555555555
Asia Pacific,,1991,1623.8664691666668
Asia Pacific,,1992,1717.1842227777777
Asia Pacific,,1993,1818.4128513888888
Asia Pacific,,1994,1982.165216111111
Asia Pacific,,1995,2083.016143888889
Asia Pacific,,1996,2274.2429327777777
Asia Pacific,,1997,2421.380018888889
Asia Pacific,,1998,2461.1937780555554
Asia Pacific,,1999,2615.251336111111
Asia Pacific,,2000,2774.5473761111107
Asia Pacific,,2001,2854.936505555556
Asia Pacific,,2002,3040.8727388888888
Asia Pacific,,2003,3232.6134
Asia Pacific,,2004,3443.7746472222225
Asia Pacific,,2005,3720.242711111111
Asia Pacific,,2006,3895.229594444445
Asia Pacific,,2007,4070.5601888888887
Asia Pacific,,2008,4262.724786111111
Asia Pacific,,2009,4445.349491666666
Asia Pacific,,2010,4881.119147222222
Asia Pacific,,2011,4925.5615333333335
Asia Pacific,,2012,5021.165444444444
Asia Pacific,,2013,5121.859705555556
Asia Pacific,,2014,5332.6825944444445
Asia Pacific,,2015,5600.3349638888885
Asia Pacific,,2016,5790.350044444444
Asia Pacific,,2017,6046.194930555555
Asia Pacific,,2018,6266.163372222221
Asia Pacific,,2019,6582.404930555555
Asia Pacific,,2020,6520.7754
Australia,AUS,1970,17.30397472222222
Australia,AUS,1971,25.826679444444444
Australia,AUS,1972,37.074262777777776
Australia,AUS,1973,47.0688
Australia,AUS,1974,53.701990277777774
Australia,AUS,1975,57.66997055555555
Australia,AUS,1976,68.0772175
Australia,AUS,1977,77.76843777777778
Australia,AUS,1978,83.72538055555556
Australia,AUS,1979,96.37518277777778
Australia,AUS,1980,110.66587916666668
Australia,AUS,1981,119.9443897222222
Australia,AUS,1982,116.98083527777776
Australia,AUS,1983,127.07482055555556
Australia,AUS,1984,125.31726388888887
Australia,AUS,1985,133.95262333333332
Australia,AUS,1986,146.3292813888889
Australia,AUS,1987,149.39459083333335
Australia,AUS,1988,152.99339
Australia,AUS,1989,177.07563972222223
Australia,AUS,1990,206.1114705555556
Australia,AUS,1991,215.765
Australia,AUS,1992,233.3359530555556
Australia,AUS,1993,243.83902805555556
Australia,AUS,1994,279.9121663888889
Australia,AUS,1995,295.9596836111112
Australia,AUS,1996,296.33702944444445
Australia,AUS,1997,296.3764705555556
Australia,AUS,1998,302.7370791666666
Australia,AUS,1999,307.1253308333333
Australia,AUS,2000,311.92330416666664
Australia,AUS,2001,326.4131783333333
Australia,AUS,2002,330.0115969444444
Australia,AUS,2003,337.4522586111111
Australia,AUS,2004,359.3031261111111
Australia,AUS,2005,382.3527969444445
Australia,AUS,2006,406.8222719444444
Australia,AUS,2007,427.5118480555556
Australia,AUS,2008,416.8290344444444
Australia,AUS,2009,466.9759283333333
Australia,AUS,2010,526.2550944444445
Australia,AUS,2011,541.6328149999999
Australia,AUS,2012,579.6200830555556
Australia,AUS,2013,602.5001936111111
Australia,AUS,2014,649.2760794444445
Australia,AUS,2015,740.9851919444444
Australia,AUS,2016,939.9792861111112
Australia,AUS,2017,1101.2462725
Australia,AUS,2018,1260.157753888889
Australia,AUS,2019,1431.4901883333332
Australia,AUS,2020,1425.1601519444446
Azerbaijan,AZE,1985,137.17212388888888
Azerbaijan,AZE,1986,132.58997055555557
Azerbaijan,AZE,1987,121.86578166666666
Azerbaijan,AZE,1988,116.01622416666666
Azerbaijan,AZE,1989,108.21681416666668
Azerbaijan,AZE,1990,96.51769916666666
Azerbaijan,AZE,1991,83.84365777777778
Azerbaijan,AZE,1992,77.01917416666666
Azerbaijan,AZE,1993,66.29498527777778
Azerbaijan,AZE,1994,62.39528027777778
Azerbaijan,AZE,1995,64.34513277777778
Azerbaijan,AZE,1996,57.29641583333333
Azerbaijan,AZE,1997,54.5666225
Azerbaijan,AZE,1998,50.92039833333333
Azerbaijan,AZE,1999,54.5666225
Azerbaijan,AZE,2000,51.44685833333333
Azerbaijan,AZE,2001,50.432935
Azerbaijan,AZE,2002,46.776961666666665
Azerbaijan,AZE,2003,46.63072277777778
Azerbaijan,AZE,2004,45.43156333333334
Azerbaijan,AZE,2005,55.88374777777777
Azerbaijan,AZE,2006,65.93816222222222
Azerbaijan,AZE,2007,105.60498666666666
Azerbaijan,AZE,2008,159.2688275
Azerbaijan,AZE,2009,159.1342875
Azerbaijan,AZE,2010,162.54652944444445
Azerbaijan,AZE,2011,159.5115841666667
Azerbaijan,AZE,2012,168.0977597222222
Azerbaijan,AZE,2013,174.46402805555553
Azerbaijan,AZE,2014,183.840775
Azerbaijan,AZE,2015,187.840525
Azerbaijan,AZE,2016,182.7754
Azerbaijan,AZE,2017,177.586275
Azerbaijan,AZE,2018,190.4661586111111
Azerbaijan,AZE,2019,243.1822305555556
Azerbaijan,AZE,2020,258.43546638888887
Bahrain,BHR,1970,6.50117
Bahrain,BHR,1971,9.47845
Bahrain,BHR,1972,11.827710000000002
Bahrain,BHR,1973,16.77046
Bahrain,BHR,1974,20.67814
Bahrain,BHR,1975,21.75973
Bahrain,BHR,1976,22.80643
Bahrain,BHR,1977,24.73701
Bahrain,BHR,1978,27.17931
Bahrain,BHR,1979,30.13333
Bahrain,BHR,1980,24.45789
Bahrain,BHR,1981,22.6785
Bahrain,BHR,1982,35.80877
Bahrain,BHR,1983,37.53001
Bahrain,BHR,1984,38.66975
Bahrain,BHR,1985,47.20617
Bahrain,BHR,1986,54.04461
Bahrain,BHR,1987,52.50945
Bahrain,BHR,1988,55.77748
Bahrain,BHR,1989,58.02207
Bahrain,BHR,1990,60.76675
Bahrain,BHR,1991,57.92903
Bahrain,BHR,1992,67.6866
Bahrain,BHR,1993,72.50142
Bahrain,BHR,1994,74.22265999999999
Bahrain,BHR,1995,75.45544
Bahrain,BHR,1996,77.70003
Bahrain,BHR,1997,83.42199000000001
Bahrain,BHR,1998,87.71346
Bahrain,BHR,1999,90.76052
Bahrain,BHR,2000,91.74907
Bahrain,BHR,2001,95.54045
Bahrain,BHR,2002,98.99456
Bahrain,BHR,2003,100.77395
Bahrain,BHR,2004,92.69888888888887
Bahrain,BHR,2005,101.74285194444444
Bahrain,BHR,2006,107.63207166666666
Bahrain,BHR,2007,111.98626333333333
Bahrain,BHR,2008,120.17578277777775
Bahrain,BHR,2009,121.33504388888888
Bahrain,BHR,2010,124.28656055555554
Bahrain,BHR,2011,126.2407925
Bahrain,BHR,2012,130.518545
Bahrain,BHR,2013,139.5782986111111
Bahrain,BHR,2014,146.9652477777778
Bahrain,BHR,2015,145.843455
Bahrain,BHR,2016,144.4137102777778
Bahrain,BHR,2017,144.66323055555554
Bahrain,BHR,2018,146.47456138888887
Bahrain,BHR,2019,162.65963194444444
Bahrain,BHR,2020,164.36818055555554
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,4.39614
Bangladesh,BGD,1973,6.08249
Bangladesh,BGD,1974,6.687250000000001
Bangladesh,BGD,1975,6.72214
Bangladesh,BGD,1976,8.850430000000001
Bangladesh,BGD,1977,9.87387
Bangladesh,BGD,1978,10.89731
Bangladesh,BGD,1979,12.53714
Bangladesh,BGD,1980,14.11882
Bangladesh,BGD,1981,13.613856666666663
Bangladesh,BGD,1982,17.674846944444447
Bangladesh,BGD,1983,19.667185
Bangladesh,BGD,1984,22.70066305555555
Bangladesh,BGD,1985,25.780474444444444
Bangladesh,BGD,1986,29.07014888888889
Bangladesh,BGD,1987,34.155926111111114
Bangladesh,BGD,1988,40.20107805555556
Bangladesh,BGD,1989,42.49867166666666
Bangladesh,BGD,1990,45.74201305555555
Bangladesh,BGD,1991,47.107486944444446
Bangladesh,BGD,1992,51.37016388888889
Bangladesh,BGD,1993,57.50253166666666
Bangladesh,BGD,1994,60.98571666666666
Bangladesh,BGD,1995,67.42334027777778
Bangladesh,BGD,1996,72.36466583333333
Bangladesh,BGD,1997,71.13274138888889
Bangladesh,BGD,1998,76.8644611111111
Bangladesh,BGD,1999,83.80357611111111
