Entity,Code,Year,Gas - Proved reserves
Africa,,1980,5745695500000
Africa,,1981,5672843500000
Africa,,1982,6030209500000
Africa,,1983,6032937500000
Africa,,1984,5964087500000
Africa,,1985,5913750000000
Africa,,1986,7093112500000
Africa,,1987,7074612500000
Africa,,1988,7351975000000
Africa,,1989,8104050000000.001
Africa,,1990,8179175000000.001
Africa,,1991,9080712500000
Africa,,1992,9449702500000
Africa,,1993,9565950000000
Africa,,1994,8719087500000.001
Africa,,1995,9486225000000
Africa,,1996,9716491250000
Africa,,1997,10152203750000
Africa,,1998,10294591250000
Africa,,1999,10942306250000
Africa,,2000,11925086030000
Africa,,2001,12546779010000
Africa,,2002,13152341400000
Africa,,2003,13366385580000
Africa,,2004,13581757590000
Africa,,2005,13578355080000
Africa,,2006,13649533330000
Africa,,2007,13923645070000
Africa,,2008,14027757530000
Africa,,2009,14148360730000
Africa,,2010,14009844460000
Africa,,2011,14094850870000
Africa,,2012,14032590640000
Africa,,2013,13967386150000
Africa,,2014,14137177780000
Africa,,2015,13985305520000
Africa,,2016,14419003700000
Africa,,2017,14536244250000
Africa,,2018,14596453060000
Africa,,2019,14946502250000
Africa,,2020,12888557690000
Algeria,DZA,1980,3581462500000
Algeria,DZA,1981,3540075000000
Algeria,DZA,1982,3477512500000
Algeria,DZA,1983,3398587500000
Algeria,DZA,1984,3312925000000
Algeria,DZA,1985,3223412500000
Algeria,DZA,1986,3136787500000
Algeria,DZA,1987,3044387500000
Algeria,DZA,1988,3112725000000
Algeria,DZA,1989,3128125000000
Algeria,DZA,1990,3176250000000
Algeria,DZA,1991,3490025000000
Algeria,DZA,1992,3513125000000
Algeria,DZA,1993,3561250000000
Algeria,DZA,1994,2851887500000
Algeria,DZA,1995,3551625000000
Algeria,DZA,1996,3561250000000
Algeria,DZA,1997,3924112500000
Algeria,DZA,1998,3924112500000
Algeria,DZA,1999,4350500000000.0005
Algeria,DZA,2000,4353387500000
Algeria,DZA,2001,4353387500000
Algeria,DZA,2002,4353387500000
Algeria,DZA,2003,4374562499999.9995
Algeria,DZA,2004,4374562499999.9995
Algeria,DZA,2005,4335292500000.0005
Algeria,DZA,2006,4335292500000.0005
Algeria,DZA,2007,4335099999999.9995
Algeria,DZA,2008,4335099999999.9995
Algeria,DZA,2009,4335099999999.9995
Algeria,DZA,2010,4335099999999.9995
Algeria,DZA,2011,4335099999999.9995
Algeria,DZA,2012,4335011700000
Algeria,DZA,2013,4335011700000
Algeria,DZA,2014,4335099999999.9995
Algeria,DZA,2015,4335099999999.9995
Algeria,DZA,2016,4335099999999.9995
Algeria,DZA,2017,4335099999999.9995
Algeria,DZA,2018,4335099999999.9995
Algeria,DZA,2019,4335099999999.9995
Algeria,DZA,2020,2279200000000
Argentina,ARG,1980,624975000000
Argentina,ARG,1981,631800000000
Argentina,ARG,1982,674700000000
Argentina,ARG,1983,662025000000
Argentina,ARG,1984,651300000000
Argentina,ARG,1985,663975000000
Argentina,ARG,1986,654225000000
Argentina,ARG,1987,675675000000
Argentina,ARG,1988,753675000000
Argentina,ARG,1989,654225000000
Argentina,ARG,1990,643500000000
Argentina,ARG,1991,626925000000
Argentina,ARG,1992,527475000000
Argentina,ARG,1993,504075000000.00006
Argentina,ARG,1994,521625000000
Argentina,ARG,1995,603525000000
Argentina,ARG,1996,625950000000
Argentina,ARG,1997,666900000000
Argentina,ARG,1998,669825000000
Argentina,ARG,1999,710775000000
Argentina,ARG,2000,758550000000
Argentina,ARG,2001,744900000000
Argentina,ARG,2002,647400000000
Argentina,ARG,2003,596700000000
Argentina,ARG,2004,528450000000
Argentina,ARG,2005,428025000000
Argentina,ARG,2006,434850000000
Argentina,ARG,2007,429819715000
Argentina,ARG,2008,387569453000
Argentina,ARG,2009,368265328000
Argentina,ARG,2010,348847328000
Argentina,ARG,2011,323366191000
Argentina,ARG,2012,306831252000
Argentina,ARG,2013,319232555000
Argentina,ARG,2014,323081453000
Argentina,ARG,2015,340845807000
Argentina,ARG,2016,327410243000
Argentina,ARG,2017,345684432000
Argentina,ARG,2018,360488080000
Argentina,ARG,2019,385567746000
Argentina,ARG,2020,385567746000
Asia Pacific,,1980,3960505842000
Asia Pacific,,1981,4565401433000
Asia Pacific,,1982,5011799262000
Asia Pacific,,1983,5107079794000
Asia Pacific,,1984,5863704246000
Asia Pacific,,1985,6189464663000
Asia Pacific,,1986,6799892118000
Asia Pacific,,1987,7104082114000
Asia Pacific,,1988,7289435078000
Asia Pacific,,1989,7869379736000
Asia Pacific,,1990,8251343334000
Asia Pacific,,1991,7509833655000
Asia Pacific,,1992,7771208166000
Asia Pacific,,1993,7981892036000
Asia Pacific,,1994,8281658934999.999
Asia Pacific,,1995,8233971687000
Asia Pacific,,1996,7932479988000
Asia Pacific,,1997,8251443482999.999
Asia Pacific,,1998,9082312835000
Asia Pacific,,1999,9390205880000
Asia Pacific,,2000,9815050746000
Asia Pacific,,2001,10344283990000
Asia Pacific,,2002,10317543830000
Asia Pacific,,2003,10392481700000
Asia Pacific,,2004,10759801460000
Asia Pacific,,2005,10869497240000
Asia Pacific,,2006,11168620000000
Asia Pacific,,2007,12235752100000
Asia Pacific,,2008,13706831030000
Asia Pacific,,2009,13911232680000
Asia Pacific,,2010,13521760710000
Asia Pacific,,2011,13763407730000
Asia Pacific,,2012,13880831530000
Asia Pacific,,2013,14233170520000
Asia Pacific,,2014,14041744050000
Asia Pacific,,2015,14654056690000
Asia Pacific,,2016,15455543320000
Asia Pacific,,2017,15974778900000
Asia Pacific,,2018,16081910500000
Asia Pacific,,2019,16784866930000
Asia Pacific,,2020,16560028410000.002
Australia,AUS,1980,141336000000
Australia,AUS,1981,356382000000
Australia,AUS,1982,499980000000
Australia,AUS,1983,490620000000
Australia,AUS,1984,537420000000
