Entity,Code,Year,Oil Production - TWh
Africa,,1965,1235.100893267
Africa,,1966,1571.826917462
Africa,,1967,1729.137039816
Africa,,1968,2216.125948323
Africa,,1969,2818.294394718
Africa,,1970,3399.629209176
Africa,,1971,3181.029766032
Africa,,1972,3194.1734605410006
Africa,,1973,3346.9215269890005
Africa,,1974,3085.5672637810003
Africa,,1975,2831.092614262
Africa,,1976,3377.1101390310005
Africa,,1977,3541.035528663
Africa,,1978,3456.545199885
Africa,,1979,3800.223798574
Africa,,1980,3492.4871217550003
Africa,,1981,2773.140062587
Africa,,1982,2666.06156053
Africa,,1983,2702.351414784
Africa,,1984,2885.779347963
Africa,,1985,3000.3309274900007
Africa,,1986,2991.711509995
Africa,,1987,2997.637391578
Africa,,1988,3124.963679441
Africa,,1989,3449.0318209760003
Africa,,1990,3696.371821373
Africa,,1991,3834.597155595
Africa,,1992,3907.29751256
Africa,,1993,3856.359524442
Africa,,1994,3848.592396378001
Africa,,1995,3910.952948327
Africa,,1996,4037.574348868001
Africa,,1997,4131.453803431
Africa,,1998,4145.346221058
Africa,,1999,4028.149016567
Africa,,2000,4321.540559401
Africa,,2001,4278.227366755
Africa,,2002,4307.26003937
Africa,,2003,4684.481494454
Africa,,2004,5212.513063729
Africa,,2005,5404.720311784
Africa,,2006,5530.834937401
Africa,,2007,5646.265790285001
Africa,,2008,5703.680521914001
Africa,,2009,5487.110639374
Africa,,2010,5664.290150365001
Africa,,2011,4722.236705448
Africa,,2012,5142.9210347670005
Africa,,2013,4762.6802200170005
Africa,,2014,4541.094569685
Africa,,2015,4490.44258769
Africa,,2016,4249.629870132
Africa,,2017,4489.778146019
Africa,,2018,4576.723317752
Africa,,2019,4670.045686011
Africa,,2020,3806.617841155
Algeria,DZA,1965,304.0002025142
Algeria,DZA,1966,391.2619966941001
Algeria,DZA,1967,449.44416225030005
Algeria,DZA,1968,493.3881905193
Algeria,DZA,1969,516.7882778235
Algeria,DZA,1970,561.885931731
Algeria,DZA,1971,427.9567852185
Algeria,DZA,1972,578.3189753093001
Algeria,DZA,1973,601.2550929512
Algeria,DZA,1974,556.3107382605001
Algeria,DZA,1975,544.3293481612001
Algeria,DZA,1976,607.4248694739001
Algeria,DZA,1977,648.4450044438
Algeria,DZA,1978,662.1581658570001
Algeria,DZA,1979,675.5451820630001
Algeria,DZA,1980,599.4387565346001
Algeria,DZA,1981,534.1273481782
Algeria,DZA,1982,531.3829025227
Algeria,DZA,1983,522.8083114671
Algeria,DZA,1984,567.3807406186
Algeria,DZA,1985,547.3196423638
Algeria,DZA,1986,563.8136628462
Algeria,DZA,1987,583.799905769
Algeria,DZA,1988,611.4503845176
Algeria,DZA,1989,633.6584114756
Algeria,DZA,1990,678.6743477696
Algeria,DZA,1991,682.6080561748
Algeria,DZA,1992,657.1114050454
Algeria,DZA,1993,655.0389507917
Algeria,DZA,1994,652.1086887883
Algeria,DZA,1995,649.0848887883
Algeria,DZA,1996,686.3132804370001
Algeria,DZA,1997,716.0245029597
Algeria,DZA,1998,713.9167778235001
Algeria,DZA,1999,680.6859789841
Algeria,DZA,2000,776.7328100000001
Algeria,DZA,2001,764.6841300000001
Algeria,DZA,2002,824.4972200000001
Algeria,DZA,2003,918.82815
Algeria,DZA,2004,971.69813
Algeria,DZA,2005,1005.2701021
Algeria,DZA,2006,1002.52926
Algeria,DZA,2007,1005.78566
Algeria,DZA,2008,985.7705232726
Algeria,DZA,2009,898.23142
Algeria,DZA,2010,858.0032500000001
Algeria,DZA,2011,833.58025
Algeria,DZA,2012,781.6755600000001
Algeria,DZA,2013,753.4379200000001
Algeria,DZA,2014,799.80673
Algeria,DZA,2015,781.82675
Algeria,DZA,2016,795.6897100000001
Algeria,DZA,2017,775.1162400000001
Algeria,DZA,2018,759.81116
Algeria,DZA,2019,748.1579
Algeria,DZA,2020,669.86474
Angola,AGO,1965,7.617650000000001
Angola,AGO,1966,7.33853
Angola,AGO,1967,6.245310000000001
Angola,AGO,1968,8.7225
Angola,AGO,1969,28.586540000000003
Angola,AGO,1970,58.90595000000001
Angola,AGO,1971,66.53523
Angola,AGO,1972,82.07291000000001
Angola,AGO,1973,95.07525
Angola,AGO,1974,99.33183
Angola,AGO,1975,90.60933
Angola,AGO,1976,87.96932000000001
Angola,AGO,1977,82.13106
Angola,AGO,1978,75.23447
Angola,AGO,1979,83.736
Angola,AGO,1980,86.38764
Angola,AGO,1981,83.24754000000001
Angola,AGO,1982,74.54830000000001
Angola,AGO,1983,102.2277
Angola,AGO,1984,117.16062
Angola,AGO,1985,133.18676000000002
Angola,AGO,1986,161.95938
Angola,AGO,1987,203.59478
Angola,AGO,1988,259.58160000000004
Angola,AGO,1989,263.32646
Angola,AGO,1990,271.9094
Angola,AGO,1991,285.09782
Angola,AGO,1992,315.78939
Angola,AGO,1993,288.5403
Angola,AGO,1994,318.94112
Angola,AGO,1995,362.54199
Angola,AGO,1996,411.28332
Angola,AGO,1997,424.495
Angola,AGO,1998,418.68
Angola,AGO,1999,426.8210000000001
Angola,AGO,2000,428.5655
Angola,AGO,2001,425.0765
Angola,AGO,2002,518.6980000000001
Angola,AGO,2003,498.1446353625
Angola,AGO,2004,634.8000032042
Angola,AGO,2005,726.1116508777001
Angola,AGO,2006,798.7351763411
Angola,AGO,2007,944.173835821
Angola,AGO,2008,1073.3397898806
Angola,AGO,2009,1000.6081260023
Angola,AGO,2010,1034.2382671755
Angola,AGO,2011,954.02926413
Angola,AGO,2012,991.9908144677
Angola,AGO,2013,990.9448441339
Angola,AGO,2014,968.5163020252
Angola,AGO,2015,1025.3317209136
Angola,AGO,2016,997.4822660069
Angola,AGO,2017,949.0654773208
Angola,AGO,2018,861.6135782305001
Angola,AGO,2019,803.2828188392001
