Entity,Code,Year,Oil production per capita (kWh)
Africa,,1900,0
Africa,,1901,0
Africa,,1902,0
Africa,,1903,0
Africa,,1904,0
Africa,,1905,0
Africa,,1906,0
Africa,,1907,0
Africa,,1908,0
Africa,,1909,0
Africa,,1910,0
Africa,,1911,0.241
Africa,,1912,2.243
Africa,,1913,1.037
Africa,,1914,7.945
Africa,,1915,2.374
Africa,,1916,4.648
Africa,,1917,10.827
Africa,,1918,22.111
Africa,,1919,17.478
Africa,,1920,11.475
Africa,,1921,13.983
Africa,,1922,13.153
Africa,,1923,11.499
Africa,,1924,12.169
Africa,,1925,13.258
Africa,,1926,12.519
Africa,,1927,13.217
Africa,,1928,18.878
Africa,,1929,19.059
Africa,,1930,19.62
Africa,,1931,19.6
Africa,,1932,18.153
Africa,,1933,15.816
Africa,,1934,14.445
Africa,,1935,11.693
Africa,,1936,11.609
Africa,,1937,10.898
Africa,,1938,14.16
Africa,,1939,40.938
Africa,,1940,56.121
Africa,,1941,72.735
Africa,,1942,69.292
Africa,,1943,74.112
Africa,,1944,76.78
Africa,,1945,75.28
Africa,,1946,70.355
Africa,,1947,72.031
Africa,,1948,100.402
Africa,,1949,120.128
Africa,,1950,135.244
Africa,,1951,120.892
Africa,,1952,122.58
Africa,,1953,121.972
Africa,,1954,101.623
Africa,,1955,91.016
Africa,,1956,84.072
Africa,,1957,117.8
Africa,,1958,193.499
Africa,,1959,244.525
Africa,,1960,566.353
Africa,,1961,947.626
Africa,,1962,1519.453
Africa,,1963,2183.981
Africa,,1964,3066.857
Africa,,1965,3857.915
Africa,,1966,4788.409
Africa,,1967,5136.592
Africa,,1968,6418.338
Africa,,1969,7956.455
Africa,,1970,9353.836
Africa,,1971,8528.607
Africa,,1972,8343.413
Africa,,1973,8515.377
Africa,,1974,7644.242
Africa,,1975,6827.262
Africa,,1976,7924.801
Africa,,1977,8083.545
Africa,,1978,7674.324
Africa,,1979,8204.574
Africa,,1980,7331.209
Africa,,1981,5659.424
Africa,,1982,5289.446
Africa,,1983,5212.067
Africa,,1984,5410.716
Africa,,1985,5468.808
Africa,,1986,5301.377
Africa,,1987,5164.562
Africa,,1988,5235.769
Africa,,1989,5621.783
Africa,,1990,5864.002
Africa,,1991,5923.585
Africa,,1992,5879.95
Africa,,1993,5655.57
Africa,,1994,5502.348
Africa,,1995,5452.553
Africa,,1996,5490.601
Africa,,1997,5481.289
Africa,,1998,5366.581
Africa,,1999,5089.233
Africa,,2000,5328.76
Africa,,2001,5148.892
Africa,,2002,5059.636
Africa,,2003,5370.582
Africa,,2004,5831.577
Africa,,2005,5899.356
Africa,,2006,5888.816
Africa,,2007,5863.071
Africa,,2008,5775.157
Africa,,2009,5416.449
Africa,,2010,5450.08
Africa,,2011,4428.164
Africa,,2012,4699.551
Africa,,2013,4240.863
Africa,,2014,3940.439
Africa,,2015,3797.611
Africa,,2016,3503.288
Africa,,2017,3608.502
Africa,,2018,3586.996
Africa,,2019,3570.196
Africa,,2020,2839.492
Albania,ALB,1900,0
Albania,ALB,1901,0
Albania,ALB,1902,0
Albania,ALB,1903,0
Albania,ALB,1904,0
Albania,ALB,1905,0
Albania,ALB,1906,0
Albania,ALB,1907,0
Albania,ALB,1908,0
Albania,ALB,1909,0
Albania,ALB,1910,0
Albania,ALB,1911,0
Albania,ALB,1912,0
Albania,ALB,1913,0
Albania,ALB,1914,0
Albania,ALB,1915,0
Albania,ALB,1916,0
Albania,ALB,1917,0
Albania,ALB,1918,0
Albania,ALB,1919,0
Albania,ALB,1920,0
Albania,ALB,1921,0
Albania,ALB,1922,0
